idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      2124	     92.58	1
3	    423.89	      2660	     92.01	1
4	    505.12	      3196	     91.26	1
5	    509.68	      3732	     91.10	1
6	    514.24	      4268	     91.09	1
7	    590.92	      4804	     90.33	1
8	    595.48	      5340	     90.28	1
9	    600.04	      5876	     90.38	1
10	    604.60	      6412	     90.33	1
11	    674.43	      6948	     99.04	1
12	    678.99	      7484	     97.66	1
13	    683.55	      8020	     96.45	1
14	    688.11	      8556	     96.02	1
15	    692.67	      9092	     95.52	1
16	    697.23	      9628	     95.20	1
17	    757.95	     10164	    102.43	1
18	    762.51	     10700	    100.62	1
19	    767.07	     11236	     99.17	1
20	    771.63	     11772	     98.40	1
21	    776.19	     12308	     97.72	1
22	    780.75	     12844	     97.01	1
23	    785.31	     13380	     97.01	1
24	    789.87	     13916	     97.01	1
25	    794.43	     14452	     97.00	1
26	    841.46	     14988	    102.88	1
27	    846.02	     15524	    101.14	1
28	    850.58	     16060	     99.50	1
29	    855.14	     16596	     98.69	1
30	    859.70	     17132	     97.85	1
31	    864.26	     17668	     97.25	1
32	    868.82	     18204	     97.22	1
33	    873.38	     18740	     97.19	1
34	    877.94	     19276	     97.17	1
35	    882.50	     19812	     97.77	1
36	    887.06	     20348	     98.30	1
37	    891.62	     20884	     98.76	1
38	    896.18	     21420	     99.79	1
39	    900.74	     21956	    100.57	1
40	    924.98	     22492	    104.25	1
41	    929.54	     23028	    102.22	1
42	    934.10	     23564	    100.44	1
43	    938.66	     24100	     99.38	1
44	    943.22	     24636	     98.58	1
45	    947.78	     25172	     97.76	1
46	    952.34	     25708	     97.67	1
47	    956.90	     26244	     97.58	1
48	    961.46	     26780	     97.51	1
49	    966.02	     27316	     98.07	1
50	    970.58	     27852	     98.56	1
51	    975.14	     28388	     98.99	1
52	    979.70	     28924	     99.87	1
53	    984.26	     29460	    100.76	1
54	    988.82	     29996	    101.41	1
55	    993.38	     30532	    102.61	1
56	    997.94	     31068	    103.54	1
57	   1002.50	     31604	    104.47	1
58	   1007.06	     32140	    105.91	1
59	   1011.62	     32676	    107.05	1
60	   1016.18	     33212	    108.17	1
61	   1020.74	     33748	    109.64	1
62	   1025.30	     34284	    108.56	1
63	   1029.86	     34820	    107.49	1
64	   1034.42	     35356	    107.18	1
65	   1038.98	     35892	    106.78	1
66	   1043.54	     36428	    106.56	1
67	   1048.10	     36964	    106.99	1
68	   1052.66	     37500	    107.24	1
69	   1057.22	     38036	    107.59	1
70	   1061.78	     38572	    108.39	1
71	   1066.34	     39108	    109.09	1
72	   1070.90	     39644	    109.70	1
73	   1075.46	     40180	    110.86	1
74	   1080.02	     40716	    111.88	1
75	   1084.58	     41252	    112.65	1
76	   1089.14	     41788	    113.94	1
77	   1093.70	     42324	    115.07	1
78	   1098.26	     42860	    116.69	1
79	   1102.82	     43396	    117.98	1
80	   1107.38	     43932	    119.23	1
81	   1111.94	     44468	    120.83	1
82	   1116.50	     45004	    122.22	1
83	   1121.06	     45540	    123.57	1
84	   1125.62	     46076	    125.25	1
85	   1130.18	     46612	    126.72	1
86	   1134.74	     47148	    128.00	1
87	   1139.30	     47684	    129.75	1
88	   1143.86	     48220	    131.16	1
89	   1148.42	     48756	    132.39	1
90	   1152.98	     49292	    133.97	1
91	   1157.54	     49828	    135.47	1
92	   1162.10	     50364	    136.79	1
93	   1166.66	     50900	    138.44	1
94	   1171.22	     51436	    140.01	1
95	   1175.78	     51972	    141.26	1
96	   1180.34	     52508	    142.97	1
97	   1184.90	     53044	    144.48	1
98	   1189.46	     53580	    145.79	1
99	   1194.02	     54116	    147.57	1
100	   1198.58	     54652	    149.12	1
101	   1203.14	     55188	    150.48	1
102	   1207.70	     55724	    152.17	1
103	   1212.26	     56260	    153.65	1
104	   1216.82	     56796	    154.94	1
105	   1221.38	     57332	    156.70	1
106	   1225.94	     57868	    158.11	1
107	   1230.50	     58404	    159.47	1
108	   1235.06	     58940	    161.29	1
109	   1239.62	     59476	    162.75	1
110	   1244.18	     60012	    164.16	1
111	   1248.74	     60548	    165.89	1
112	   1253.30	     61084	    167.40	1
113	   1257.86	     61620	    168.60	1
114	   1262.42	     62156	    170.28	1
115	   1266.98	     62692	    171.74	1
116	   1271.54	     63228	    173.03	1
117	   1276.10	     63764	    174.77	1
118	   1280.66	     64300	    176.30	1
119	   1285.22	     64836	    178.26	1
120	   1289.78	     65372	    179.85	1
121	   1294.34	     65908	    181.37	1
122	   1298.90	     66444	    183.20	1
123	   1303.46	     66980	    184.80	1
124	   1308.02	     67516	    186.33	1
125	   1312.58	     68052	    188.16	1
126	   1317.14	     68588	    189.76	1
127	   1321.70	     69124	    191.04	1
128	   1326.26	     69660	    192.79	1
129	   1330.82	     70196	    194.31	1
130	   1335.38	     70732	    195.65	1
131	   1339.94	     71268	    197.32	1
132	   1344.50	     71804	    198.90	1
133	   1349.06	     72340	    200.29	1
134	   1353.62	     72876	    202.00	1
135	   1358.18	     73412	    203.63	1
136	   1362.74	     73948	    204.93	1
137	   1367.30	     74484	    206.69	1
138	   1371.86	     75020	    208.22	1
139	   1376.42	     75556	    209.57	1
140	   1380.98	     76092	    211.25	1
141	   1385.54	     76628	    212.72	1
142	   1390.10	     77164	    214.13	1
143	   1394.66	     77700	    215.86	1
144	   1399.22	     78236	    217.38	1
145	   1403.78	     78772	    218.71	1
146	   1408.34	     79308	    220.49	1
147	   1412.90	     79844	    221.93	1
148	   1417.46	     80380	    223.31	1
149	   1422.02	     80916	    225.15	1
150	   1426.58	     81452	    226.63	1
151	   1431.14	     81988	    227.93	1
152	   1435.70	     82524	    229.56	1
153	   1440.26	     83060	    231.12	1
154	   1444.82	     83596	    232.35	1
155	   1449.38	     84132	    234.06	1
156	   1453.94	     84668	    235.55	1
157	   1458.50	     85204	    237.48	1
158	   1463.06	     85740	    239.17	1
159	   1467.62	     86276	    240.65	1
160	   1472.18	     86812	    242.57	1
161	   1476.74	     87348	    244.12	1
162	   1481.30	     87884	    245.61	1
163	   1485.86	     88420	    247.41	1
164	   1490.42	     88956	    248.98	1
165	   1494.98	     89492	    250.23	1
166	   1499.54	     90028	    251.95	1
167	   1504.10	     90564	    253.58	1
168	   1508.66	     91100	    254.89	1
169	   1513.22	     91636	    256.65	1
170	   1517.78	     92172	    258.19	1
171	   1522.34	     92708	    259.55	1
172	   1526.90	     93244	    261.23	1
173	   1531.46	     93780	    262.82	1
174	   1536.02	     94316	    264.22	1
